Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13617626,Kluge: The Haphazard Evolution of the Human Mind,Gary F. Marcus,"Marcus, Gary F.",,"=""0571236529""","=""9780571236527""",4,3.81,Faber and Faber Limited,Paperback,211,2009,2008,2012/05/03,2012/04/26,,,read,A nice journey through the evolutionary changes of our minds and their effects on our current thinking.,,,1,,,0,,,,,
12693642,Lean from the Trenches,Henrik Kniberg,"Kniberg, Henrik",,"=""1934356859""","=""9781934356852""",2,4.22,Pragmatic Bookshelf,Paperback,176,2011,2011,2012/03/04,2012/03/01,,,read,"So it was OK indeed - a very nice story, some interesting insight but it didn't change my world. There is once excellent quote in the book about bugs and I recommend that you pick it up and read it for that one comment. Part 2 might be useful for someone new to Lean or Agile or systems thinking. ",,,1,,,0,,,,,
756250,Organizational Patterns of Agile Software Development,James O. Coplien,"Coplien, James O.",Neil B. Harrison,"=""0131467409""","=""9780131467408""",0,3.85,Pearson,Paperback,432,2004,2004,,2012/02/09,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
6117571,Scrumban: Essays on Kanban Systems for Lean Software Development,Corey Ladas,"Ladas, Corey",,"=""0578002140""","=""9780578002149""",3,3.69,Modus Cooperandi Press,,178,2008,2008,,2009/11/09,,,read,,,,1,,,0,,,,,
13013633,Incognito: The Secret Lives of the Brain,David Eagleman,"Eagleman, David",,"=""1847679404""","=""9781847679406""",4,4.07,Canongate Books,Paperback,290,2012,2011,2012/05/24,2012/05/03,,,read,Full with fascinating examples of how our brains work and with interesting ideas on how we should interpret and stand with that knowledge. ,,,1,,,1,,,Brand new,,
13493815,Liftoff: Launching Agile Teams & Projects,Diana Larsen,"Larsen, Diana",Ainsley Nies,"=""097792016X""","=""9780977920167""",3,3.77,Onyx Neon Press,Paperback,179,2011,2011,2012/05/15,2012/04/03,,,read,"I see the value of this book not in reading it - I found it almost a bit of a struggle to actually dry-read it. It's real value is in doing a lift-offs, in chartering with your teams and there are great, clear, concise instructions in the book how to achieve that - so just pick the book and take a team through it.",,,1,,,0,,,,,
12924218,Brilliant Mistakes,Paul J.H. Schoemaker,"Schoemaker, Paul J.H.",,"=""1613630123""","=""9781613630129""",3,3.71,Wharton Digital Press,Paperback,190,2011,2011,2012/03/30,2012/03/23,,,read,"When I started reading it I thought I made a wrong choice picking this book or that I will totally disagree with it, I still think it's too focused on the word mistake/error but I actually like the content.",,,1,,,1,,,Brand new,,
13416706,Why Plans Fail: Cognitive Bias & Decision Making,Jim  Benson,"Benson, Jim",,"=""""","=""""",3,3.96,Modus Cooperandi Press,Kindle Edition,60,2011,2011,2012/03/01,2012/01/26,,,read,,,,1,,,1,2012/01/01,,unspecified,,
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,"Gawande, Atul",Susanne Kuhlmann-Krieg,"=""0312421702""","=""9780312421700""",0,4.26,Picador USA,Paperback,270,2003,2002,,2012/03/23,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
2497349,Key Management Models: Key Management Models,Steven Ten Have,"Have, Steven Ten","Wouter ten Have, Frans Stevens, Marcel Van Der Elst, Fiona Pol-Coyne","=""0273662015""","=""9780273662013""",0,3.50,FT Press,Paperback,240,2002,1999,,2010/04/15,,,read,,,,1,,,0,,,,,
21314,The Starfish and the Spider: The Unstoppable Power of Leaderless Organizations,Ori Brafman,"Brafman, Ori",Rod A. Beckstrom,"=""1591841437""","=""9781591841432""",0,3.81,Portfolio,Hardcover,230,2006,2006,,2012/03/22,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
61610,Introducing Neuro-Linguistic Programming: Psychological Skills for Understanding and Influencing People,Joseph  O'Connor,"O'Connor, Joseph",John  Seymour,"=""1855383446""","=""9781855383449""",0,3.74,Harper Element ,Paperback,246,2002,1990,,2009/11/09,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
41786,Joel on Software,Joel Spolsky,"Spolsky, Joel",,"=""1590593898""","=""9781590593899""",0,4.12,Apress,Paperback,384,2004,2004,,2009/11/09,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
7550733,Notes on Nursing,Florence Nightingale,"Nightingale, Florence",,"=""1435100425""","=""9781602069237""",3,3.79,Cosimo Classics,Hardcover,144,2007,1858,2012/03/22,2012/03/07,,,read,"Amazing, so many years later and this book is still current and have some advice that many could do applying today. Also an interesting view into the Victorian England.",,,1,,,1,,,unspecified,,
7796228,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""""","=""""",4,4.03,,Kindle Edition,225,2009,2009,2012/03/12,2012/03/08,,,read,"Loved the stories, like the ideas and I agree that checklists are underused.",,,1,,,0,,,,,
1108333,"The Puritan Gift: Triumph, Collapse and Revival of an American Dream",Kenneth Hopper,"Hopper, Kenneth",William Hopper,"=""1850434190""","=""9781850434191""",4,4.31,I. B. Tauris,Hardcover,352,2007,2007,2012/03/08,2012/03/05,,,read,"Certainly worth a read. A well written history of the American corporations since the days first settlers set foot on the new land. Gives context to better understand the ups and downs of the US economy, the different management schools of thought and their effect on corporations. Read where people like Sloan, Drucker, Deming, Taylor, Duran, Wren, Given, Sarasohn, Protzman and Polkinghorn among many others worked and what their ideas and contributions really were. Check what effect the American influence had on Japan and the appearance of Lean and TPS for example. Finally, see the 25 principles that every business today would do well to consider in their function.",,Paul DD loves this book.,1,,,1,,,Brand new,,
6588294,Java: A Beginner's Guide,Herbert Schildt,"Schildt, Herbert",,"=""""","=""""",3,3.99,,Kindle Edition,696,,2005,2005/01/01,2010/05/04,,,read,,,,1,,,1,,,Brand new,,
665153,Waltzing with Bears: Managing Risk on Software Projects,Tom DeMarco,"DeMarco, Tom",Timothy R. Lister,"=""0932633609""","=""9780932633606""",5,3.97,"Dorset House Publishing Company, Incorporated",Paperback,196,2003,2003,2012/02/17,2012/02/13,,,read,Wow! This book talks so perfectly well about risk and uncertainty and exposes why we don't do it on IT projects and what are the repercussions. DeMarco and Lister really understand how and why agile works and this was in 2003. Most organisation as still way behind their thinking.,,,1,,,0,,,,,
261666,Fearless Change: Patterns for Introducing New Ideas,Mary Lynn Manns,"Manns, Mary Lynn",Linda Rising,"=""0201741571""","=""9780201741575""",3,3.94,Addison-Wesley Professional,Hardcover,304,2004,2004,2012/02/09,2009/11/12,,,read,"This is a first non-software patterns book that I read and for that it has given me a very interesting insight into the world of patterns and their wider appeal. I like the patterns listed in the book as they form a useful language to use when discussing change, at times, they feel too generic to give specific solutions and that's OK. Some mini-cases and examples of use felt a little bit weak, more a narrative that for me didn't always add much value.<br/>I will be going back to the book.",,,1,,,1,,,Brand new,,
8140252,Switch: How to Change Things When Change Is Hard,Chip Heath,"Heath, Chip",Dan Heath,"=""""","=""""",5,4.02,,Kindle Edition,8,,2010,2011/12/09,2011/04/18,,,read,"Love the clear model, the numerous examples and interesting stories. It's well written, very practical and something that can really be applied in practice.",,,1,,,0,,,,,
5341009,Agile Testing: A Practical Guide for Testers and Agile Teams,Lisa Crispin,"Crispin, Lisa","Janet Gregory, Mike Cohn, Brian Marick","=""0321534468""","=""9780321534460""",0,3.84,Addison-Wesley Professional,Paperback,533,2009,2008,,2012/01/23,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
6624331,The Time Paradox: The New Psychology of Time That Will Change Your Life,Philip G. Zimbardo,"Zimbardo, Philip G.",John      Boyd,"=""1416541993""","=""9781416541998""",0,3.75,Atria Books,Paperback,400,2009,2008,,2012/01/13,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",5,4.09,Harper Perennial,Paperback,303,1990,1990,2012/01/11,2011/11/23,,,read,An effect of years of research into the psychology of happiness this book distils and presents in a compelling way our eternal search for order and meaning in life. I thoroughly enjoyed it especially its numerous concrete examples. This can truly transform your life.,,,1,,,1,,,unspecified,,
4912918,Living with Intensity,Susan Daniels,"Daniels, Susan","Michael M. Piechowski, Ellen D. Fiedler, Linda Kreger Silverman, Stephanie S. Tolan, Patricia Gatto-Walden, Annemarie Roeper, Elizabeth A. Meckstroth, Michele Kane, R. Frank Falk, Edward R. Amend, Sal Mendaglio, P. Susan Jackson","=""0910707898""","=""9780910707893""",0,4.02,"Anodyne, Inc. DBA Great Potential Press, Inc.",Paperback,305,2009,2008,,2012/01/04,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
13216651,Implementing Beyond Budgeting: Unlocking the Performance Potential,Bjarte Bogsnes,"Bogsnes, Bjarte",,"=""""","=""""",0,4.03,Wiley,Kindle Edition,240,2008,2008,,2011/12/18,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
